battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range,total_camera_mp,screen_area,aspect_ratio,pixel_density,ram_per_core,battery_wt_ratio,storage_ram_ratio,connectivity_score,performance_score,ram_category,battery_category
842,0,2.2,0,1,0,7,0.6,188,2,2,20.0,756,2549,9,7,19,0,0,1,1,3,63,36.0,75.63,1274.5,4.48,2.7,1,11.22,2,0
1021,1,0.5,1,0,1,53,0.7,136,3,6,905.0,1988,2631,17,3,7,1,1,0,2,6,51,2.194,121.35,877.0,7.51,19.86,5,3.95,2,1
563,1,0.5,1,2,1,41,0.9,145,5,6,1263.0,1716,2603,11,2,9,1,1,0,2,8,22,1.358,177.56,520.6,3.88,15.52,5,6.51,2,0
615,1,2.5,0,0,0,10,0.8,131,6,9,1216.0,1786,2769,16,8,11,1,0,0,2,9,128,1.468,127.1,461.5,4.69,3.57,2,41.54,2,0
1821,1,1.2,0,13,1,44,0.6,141,2,14,1208.0,1212,1411,8,2,15,1,1,0,1,27,16,1.002,190.13,705.5,12.91,29.77,4,3.39,1,2
1859,0,0.5,1,3,0,22,0.7,164,1,7,1004.0,1654,1067,17,1,10,1,0,0,1,10,17,1.646,107.49,1067.0,11.34,19.26,2,0.53,1,2
1821,0,1.7,0,4,1,10,0.8,139,8,10,381.0,1018,3220,13,8,18,1,0,1,3,14,104,2.665,77.64,402.5,13.1,3.08,3,43.79,3,2
1954,0,0.5,1,0,0,24,0.8,187,4,0,512.0,1149,700,16,3,5,1,1,1,0,0,48,2.24,73.99,175.0,10.45,30.63,4,1.4,0,2
1445,1,0.5,0,0,0,53,0.7,174,7,14,386.0,836,1099,17,1,20,1,0,0,0,14,17,2.16,51.16,157.0,8.3,45.17,2,3.85,1,1
509,1,0.6,1,2,1,9,0.1,93,5,15,1137.0,1224,513,19,10,12,1,0,0,0,17,190,1.076,83.53,102.6,5.47,14.98,4,1.54,0,0
