ram,ram_category,ram_per_core,storage_ram_ratio,performance_score,battery_power,battery_wt_ratio,px_width,px_height,battery_category,pixel_density,screen_area,mobile_wt,n_cores,price_range
2549,2,1274.5,2.7,11.22,842,4.48,756,20.0,0,75.63,63,188,2,1
2631,2,877.0,19.86,3.95,1021,7.51,1988,905.0,1,121.35,51,136,3,2
2603,2,520.6,15.52,6.51,563,3.88,1716,1263.0,0,177.56,22,145,5,2
2769,2,461.5,3.57,41.54,615,4.69,1786,1216.0,0,127.1,128,131,6,2
1411,1,705.5,29.77,3.39,1821,12.91,1212,1208.0,2,190.13,16,141,2,1
1067,1,1067.0,19.26,0.53,1859,11.34,1654,1004.0,2,107.49,17,164,1,1
3220,3,402.5,3.08,43.79,1821,13.1,1018,381.0,2,77.64,104,139,8,3
700,0,175.0,30.63,1.4,1954,10.45,1149,512.0,2,73.99,48,187,4,0
1099,1,157.0,45.17,3.85,1445,8.3,836,386.0,1,51.16,17,174,7,0
513,0,102.6,14.98,1.54,509,5.47,1224,1137.0,0,83.53,190,93,5,0
3946,3,789.2,2.28,57.22,769,4.23,874,248.0,0,151.42,10,182,5,3
3826,3,478.25,8.6,67.34,1520,8.59,1005,151.0,2,67.75,126,177,8,3
1482,1,370.5,21.33,16.6,1815,11.42,748,607.0,2,50.7,108,159,4,1
2680,2,670.0,6.26,22.51,803,4.06,1440,344.0,0,185.06,7,198,4,2
373,0,373.0,112.01,0.19,1866,10.09,563,356.0,2,44.41,126,185,1,0
568,0,284.0,70.26,1.14,775,4.87,1864,862.0,0,114.09,255,159,2,0
3554,3,444.25,3.64,14.22,838,4.28,1850,984.0,0,190.49,90,196,8,3
3752,3,1250.67,6.11,10.13,595,4.92,810,441.0,0,83.84,20,121,3,3
1835,1,367.0,25.9,4.59,1131,11.2,878,658.0,1,54.86,247,101,5,1
2337,2,584.25,7.98,4.67,682,5.64,1064,902.0,0,116.24,11,121,4,1
2819,2,402.71,13.67,21.71,772,9.53,1854,1314.0,0,126.25,255,81,7,3
3283,3,1641.5,3.93,13.79,1709,10.96,1385,974.0,2,94.07,17,156,2,3
1433,1,358.25,31.35,14.9,1949,9.79,822,407.0,2,76.44,55,199,4,1
1037,1,345.67,34.15,8.71,1602,14.05,788,466.0,2,101.72,56,114,3,0
2583,2,861.0,3.05,9.3,503,4.53,1245,201.0,0,105.09,66,111,3,1
2782,2,347.75,20.24,31.16,961,8.43,1434,291.0,0,77.01,162,114,8,2
3763,3,940.75,13.51,24.08,519,3.93,645,550.0,0,49.86,16,132,4,3
3286,3,469.43,12.39,11.5,956,6.69,1075,511.0,0,66.13,136,143,7,3
2373,2,1186.5,21.51,7.59,1453,15.14,1311,187.0,1,120.39,10,96,2,2
478,0,95.6,37.05,1.2,851,4.26,1263,1171.0,0,132.49,84,200,5,0
3532,3,504.57,1.41,12.36,1579,17.94,1739,1358.0,2,122.58,187,88,7,3
508,0,63.5,55.36,2.03,1568,10.45,654,413.0,2,128.91,5,150,8,0
2227,2,2227.0,18.02,2.0,1319,12.33,1152,85.0,1,60.8,90,107,1,1
3845,3,961.25,13.23,33.84,1310,13.1,1919,178.0,1,240.9,42,100,4,3
1262,1,157.75,16.51,27.26,644,4.1,881,311.0,0,71.87,12,157,8,0
1326,1,165.75,43.01,13.79,725,4.53,1249,1134.0,0,153.36,40,160,8,1
2113,2,528.25,28.2,19.44,589,3.68,815,429.0,0,65.79,91,160,4,1
3429,3,1714.5,1.74,10.97,1725,14.5,1307,609.0,2,205.99,30,119,2,3
3169,3,528.17,3.44,38.03,790,9.08,730,347.0,0,115.47,6,87,6,2
2150,2,1075.0,22.73,2.15,560,3.52,1613,1448.0,0,114.08,216,159,2,2
2484,2,2484.0,17.42,7.2,1347,10.2,967,434.0,1,55.79,36,132,1,2
3339,3,1669.5,12.2,15.36,1646,8.9,1932,1725.0,2,136.32,180,185,2,3
1878,1,939.0,2.59,1.88,1253,8.24,714,685.0,1,61.84,90,152,2,1
1629,1,543.0,20.11,4.89,1656,9.98,1456,880.0,2,106.33,180,166,3,1
504,0,252.0,33.77,2.82,1195,10.86,1652,1580.0,1,228.59,27,110,2,0
1152,1,384.0,22.04,10.02,1514,12.83,1810,186.0,2,202.17,24,118,3,1
3587,3,448.38,11.66,31.57,1723,10.51,1791,202.0,2,163.85,50,164,8,3
2296,2,328.0,17.08,28.93,1054,5.38,774,27.0,1,45.56,192,196,7,1
1270,1,158.75,42.53,26.42,578,3.57,1433,1025.0,0,110.12,45,162,8,0
3238,3,404.75,19.62,54.4,596,5.37,1854,885.0,0,120.85,208,111,8,3
2059,2,686.33,6.63,18.53,1547,7.81,1832,1042.0,2,351.27,30,198,3,2
2053,2,256.62,29.93,22.99,1760,13.86,1383,1382.0,2,97.76,228,127,8,2
3112,3,1556.0,13.7,9.34,1654,15.17,629,546.0,2,64.07,60,109,2,3
1440,1,480.0,10.62,8.21,1457,14.28,1287,1013.0,1,90.99,136,102,3,1
2908,2,415.43,17.35,10.18,1073,7.4,804,690.0,1,151.36,36,145,7,2
2552,2,850.67,17.75,16.08,1936,18.62,1036,667.0,2,82.14,98,104,3,2
905,0,113.12,60.99,19.55,823,5.56,1449,822.0,0,111.06,154,148,8,0
3963,3,1321.0,15.36,15.46,987,9.22,820,581.0,0,100.5,36,107,3,3
2056,2,342.67,23.25,6.17,1757,9.76,713,265.0,2,95.08,35,180,6,1
2910,2,582.0,16.32,20.37,1063,8.3,683,127.0,1,43.42,195,128,5,2
1457,1,485.67,7.88,13.11,1484,11.07,969,916.0,1,88.89,56,134,3,1
431,0,53.88,120.94,7.93,799,5.55,975,361.0,0,64.98,90,144,8,0
470,0,235.0,89.45,1.13,1156,7.27,547,322.0,1,79.34,42,159,2,0
2148,2,1074.0,25.03,8.59,1720,10.24,1353,753.0,2,103.23,28,168,2,2
2955,2,985.0,3.01,23.05,702,4.98,1570,504.0,0,149.9,40,141,3,2
3366,3,1122.0,12.99,19.19,616,7.6,1618,651.0,0,91.79,144,81,3,3
3068,3,767.0,11.63,6.14,1358,8.76,1858,1565.0,1,242.93,36,155,4,3
3834,3,1278.0,7.8,16.1,1866,10.25,1781,108.0,2,104.96,176,182,3,3
1050,1,525.0,8.89,2.31,1242,7.53,1225,459.0,1,109.01,11,165,2,0
3993,3,998.25,10.75,23.96,1166,14.58,603,205.0,1,79.61,7,80,4,3
3378,3,482.57,13.24,11.82,1448,10.49,1724,570.0,1,129.7,143,138,7,3
2192,2,548.0,9.82,21.04,1407,13.53,1217,1172.0,1,168.96,63,104,4,2
392,0,130.67,18.64,1.18,605,4.26,1026,160.0,0,64.9,90,142,3,0
3709,3,3709.0,11.55,4.45,1038,7.36,638,4.0,1,53.17,66,141,1,3
590,0,147.5,56.2,6.84,797,8.86,1413,763.0,0,160.58,18,90,4,0
1814,1,302.33,22.44,6.53,819,4.36,1242,339.0,0,214.57,20,188,6,1
907,0,302.33,9.13,7.62,1114,5.65,1071,1040.0,1,135.71,70,197,3,0
1449,1,1449.0,21.78,2.32,1234,7.17,778,166.0,1,66.29,77,172,1,0
3448,3,862.0,4.61,34.48,1199,10.34,1552,1168.0,1,107.91,221,116,4,3
1837,1,306.17,15.31,11.02,1103,9.94,1486,990.0,1,198.4,56,111,6,1
3464,3,494.86,16.65,14.55,1589,18.69,1206,319.0,2,62.37,190,85,7,3
2593,2,648.25,24.31,30.08,999,5.02,1616,1397.0,0,142.41,154,199,4,2
3484,3,696.8,12.85,15.68,1510,8.39,1752,708.0,2,188.96,54,180,5,3
2009,2,669.67,29.58,4.82,1008,8.84,1122,1077.0,1,141.39,30,114,3,1
2048,2,2048.0,27.14,5.94,1127,6.91,1049,928.0,1,116.71,55,163,1,1
837,0,104.62,27.25,16.07,1412,14.71,1894,516.0,1,122.69,135,96,8,1
854,0,170.8,44.97,8.54,1496,8.22,741,96.0,1,43.95,96,182,5,0
3210,3,1070.0,19.79,27.93,1083,6.08,1118,1025.0,1,108.34,39,178,3,3
2746,2,549.2,1.08,6.86,668,4.31,1203,666.0,0,137.51,45,155,5,2
2334,2,583.5,13.87,10.27,1309,13.09,1402,557.0,1,137.14,10,100,4,2
2822,2,940.67,19.96,16.93,1724,9.74,1924,1605.0,2,125.28,57,177,3,3
1971,1,281.57,26.67,27.59,1977,11.56,1242,1226.0,2,91.85,126,171,7,2
1410,1,201.43,10.16,22.7,885,8.59,802,769.0,0,65.36,160,103,7,0
349,0,58.17,31.76,5.24,879,10.59,1105,403.0,0,69.19,160,83,6,0
1418,1,472.67,4.71,7.23,1322,9.44,1990,177.0,1,99.89,323,140,3,1
3616,3,1205.33,1.93,10.85,1137,5.8,1179,942.0,1,107.79,65,196,3,3
880,0,176.0,23.97,10.12,1355,10.27,891,651.0,1,55.17,76,132,5,0
1601,1,266.83,36.07,4.8,1665,8.58,1684,1572.0,2,121.25,306,194,6,2
1412,1,706.0,25.02,7.06,657,4.66,961,476.0,0,71.5,42,141,2,0
1692,1,241.71,17.69,5.92,593,3.8,1317,1233.0,0,257.73,12,156,7,1
2600,2,433.33,3.79,7.8,1883,12.9,1739,836.0,2,113.5,128,146,6,3
1308,1,163.5,8.71,11.51,1732,14.55,881,824.0,2,70.96,112,119,8,1
2413,2,482.6,23.2,6.03,543,2.83,984,391.0,0,58.82,238,192,5,1
1047,1,261.75,49.0,11.73,1939,9.74,520,320.0,2,40.7,140,199,4,0
1204,1,172.0,6.27,20.23,553,4.57,902,325.0,0,79.9,44,121,7,0
1799,1,449.75,21.0,5.04,832,8.08,1504,125.0,0,251.53,10,103,4,1
2676,2,535.2,8.48,25.42,1661,9.66,1634,846.0,2,141.54,72,172,5,3
2597,2,519.4,15.93,31.16,1657,8.37,1796,1770.0,2,132.72,18,198,5,3
3029,3,3029.0,15.04,6.06,1135,13.67,1846,293.0,1,93.46,323,83,1,3
2343,2,2343.0,17.17,3.51,1775,10.89,1869,1633.0,2,124.1,247,163,1,3
2016,2,672.0,20.79,10.89,783,7.39,1471,1198.0,0,111.59,64,106,3,1
2213,2,316.14,14.15,35.63,617,3.1,874,768.0,0,61.24,234,199,7,1
790,0,131.67,4.59,6.64,867,6.42,1974,70.0,0,141.09,78,135,6,0
3182,3,636.4,2.18,17.5,1310,6.75,513,117.0,1,58.46,32,194,5,2
3472,3,496.0,6.3,12.15,1804,11.79,1244,1158.0,2,169.96,9,153,7,3
2871,2,410.14,6.2,46.22,1900,21.35,1661,1055.0,2,151.36,12,89,7,3
3187,3,398.38,16.5,35.69,909,11.09,973,635.0,0,89.38,108,82,8,2
1945,1,648.33,20.01,15.17,1084,10.13,771,322.0,1,52.22,60,107,3,1
488,0,488.0,79.78,0.63,1308,6.57,989,275.0,1,171.09,15,199,1,0
1214,1,404.67,11.67,1.82,1778,17.43,1954,1445.0,2,405.04,30,102,3,1
2598,2,324.75,3.79,33.25,1701,8.77,1338,550.0,2,111.28,108,194,8,2
3242,3,810.5,3.06,31.12,772,9.65,1712,1242.0,0,111.32,198,80,4,3
3534,3,1178.0,14.64,5.3,825,6.35,863,597.0,0,95.4,40,130,3,3
3426,3,1713.0,10.45,7.54,1379,6.9,1376,538.0,1,246.24,20,200,2,3
2488,2,497.6,9.88,24.88,1166,5.89,1203,59.0,1,86.03,65,198,5,2
3255,3,3255.0,4.88,9.11,1659,18.64,902,819.0,2,60.92,266,89,1,3
2863,2,715.75,20.03,27.48,826,9.39,786,179.0,0,80.61,27,88,4,2
1496,1,249.33,16.02,20.64,1564,8.28,1965,1259.0,2,333.39,24,189,6,1
3801,3,1267.0,8.13,10.26,1957,10.81,1732,396.0,2,136.67,72,181,3,3
666,0,111.0,25.32,5.59,1571,15.71,1398,713.0,2,120.72,120,100,6,0
3799,3,542.71,14.17,53.19,1414,14.28,829,262.0,1,48.3,119,99,7,3
1366,1,1366.0,1.39,3.42,1790,9.73,792,622.0,2,125.88,42,184,1,1
2962,2,423.14,13.7,10.37,645,3.27,580,327.0,0,51.22,108,197,7,2
2399,2,299.88,12.28,55.66,668,3.43,1056,522.0,0,107.09,50,195,8,1
2338,2,584.5,15.11,10.29,1652,18.56,1264,313.0,2,100.17,96,89,4,2
2700,2,540.0,5.85,6.75,1213,11.23,1248,226.0,1,97.56,36,108,5,2
2235,2,372.5,9.64,33.52,1272,9.56,669,605.0,1,45.1,76,133,6,1
3825,3,478.12,11.99,15.3,866,4.84,1686,692.0,0,140.19,132,179,8,3
284,0,40.57,7.95,4.77,536,2.95,1539,1386.0,0,159.32,108,182,7,0
1427,1,178.38,9.37,29.68,523,3.37,1042,304.0,0,108.54,9,155,8,0
1324,1,1324.0,22.25,0.66,1753,13.08,1926,1590.0,2,138.75,102,134,1,2
398,0,132.67,28.65,2.15,1218,8.29,616,229.0,1,36.51,102,147,3,0
3685,3,3685.0,11.63,9.21,1537,11.22,1131,839.0,2,74.12,306,137,1,3
2390,2,341.43,13.56,36.81,786,5.57,1697,507.0,0,136.24,132,141,7,2
278,0,92.67,172.28,1.75,1678,12.52,536,436.0,2,34.55,114,134,3,0
3556,3,1778.0,2.52,9.96,1814,12.87,786,756.0,2,57.4,216,141,2,3
2196,2,1098.0,13.81,7.91,1101,7.44,1269,387.0,1,102.05,72,148,2,1
3799,3,542.71,10.5,63.82,1461,10.36,1298,1265.0,1,106.62,16,141,7,3
2268,2,756.0,20.3,20.41,1216,6.11,1967,1852.0,1,192.98,65,199,3,2
2965,2,2965.0,13.69,4.74,506,3.18,1025,875.0,0,96.26,130,159,1,2
2341,2,468.2,23.47,5.85,843,5.73,800,140.0,0,73.83,10,147,5,1
3557,3,508.14,15.67,54.78,742,3.91,1359,577.0,0,86.85,176,190,7,3
1354,1,225.67,42.89,17.06,1692,9.61,1996,975.0,2,130.67,112,176,6,1
2147,2,1073.5,14.57,4.29,1485,17.68,1013,510.0,1,56.71,19,84,2,2
505,0,252.5,75.86,2.93,1547,9.32,590,583.0,2,63.8,24,166,2,0
1394,1,1394.0,31.48,3.21,1692,12.17,1925,674.0,2,119.98,160,139,1,1
374,0,93.5,128.97,3.44,637,6.57,1989,1125.0,0,120.27,72,97,4,0
506,0,84.33,10.1,1.52,1224,11.23,826,747.0,1,101.24,60,109,6,0
3702,3,617.0,7.81,62.19,1356,6.85,1983,1612.0,1,141.97,102,198,6,3
1078,1,1078.0,29.5,0.54,1840,12.96,1545,311.0,2,175.11,48,142,1,1
2945,2,589.0,12.43,10.31,1481,15.43,1533,116.0,1,139.76,50,96,5,2
2981,2,496.83,16.94,26.83,961,6.32,621,554.0,0,52.01,90,152,6,2
490,0,98.0,24.2,2.2,1296,10.45,1272,811.0,1,188.57,7,124,5,0
536,0,536.0,41.7,0.48,1193,7.19,1729,730.0,1,104.27,238,166,1,0
2317,2,289.62,1.27,38.93,1441,12.21,1071,577.0,1,71.56,64,118,8,2
3704,3,926.0,8.88,20.74,517,2.83,974,660.0,0,65.36,272,183,4,3
2126,2,265.75,12.41,28.91,748,4.99,1554,450.0,0,85.15,162,150,8,1
2050,2,341.67,4.76,29.52,1126,7.04,1611,1223.0,1,252.83,42,160,6,2
2462,2,351.71,23.16,10.34,1572,10.01,1937,1109.0,2,171.69,96,157,7,3
1260,1,315.0,33.07,14.11,1569,14.26,1942,45.0,2,194.25,18,110,4,1
3770,3,538.57,8.46,15.83,1270,12.57,845,299.0,1,149.39,15,101,7,3
1886,1,377.2,4.12,28.29,1854,18.36,627,506.0,2,44.76,68,101,5,1
3323,3,830.75,2.99,15.95,625,3.42,842,635.0,0,105.46,9,183,4,2
2060,2,412.0,19.89,5.15,1577,8.01,1737,1045.0,2,101.36,114,197,5,2
3926,3,785.2,4.07,9.82,534,2.83,1199,393.0,0,74.22,192,189,5,3
2177,2,362.83,11.23,22.21,946,6.62,1740,650.0,0,232.18,35,143,6,2
728,0,104.0,35.76,2.55,685,7.37,648,433.0,0,51.96,112,93,7,0
2478,2,495.6,9.13,16.11,1949,19.3,1136,839.0,2,94.15,112,101,5,3
2842,2,1421.0,7.65,4.55,947,4.81,1220,1176.0,0,99.68,192,197,2,2
1617,1,231.0,37.52,24.9,801,4.85,879,650.0,0,60.73,68,165,7,1
1472,1,1472.0,19.51,3.97,703,6.22,1065,218.0,0,72.47,98,113,1,0
764,0,127.33,48.46,11.0,1165,6.54,831,564.0,1,50.22,228,178,6,0
2337,2,292.12,15.95,14.96,1082,5.46,1191,986.0,1,220.88,6,198,8,2
3965,3,991.25,5.04,41.24,959,11.42,1631,561.0,0,101.46,16,84,4,3
3693,3,738.6,14.57,22.16,1502,10.88,588,65.0,2,32.87,238,138,5,3
797,0,265.67,4.55,5.02,1380,15.0,500,420.0,1,46.64,26,92,3,0
1687,1,281.17,2.86,5.06,1266,13.33,1698,1365.0,1,181.55,66,95,6,2
2940,2,2940.0,15.48,7.64,1934,18.78,1299,619.0,2,102.78,117,103,1,3
1545,1,1545.0,3.73,0.77,1905,12.62,898,849.0,2,123.58,45,151,1,1
3834,3,766.8,11.19,26.84,1831,12.21,1381,611.0,2,83.9,119,150,5,3
2505,2,2505.0,18.07,3.51,596,3.61,984,953.0,0,85.62,60,165,1,1
2243,2,448.6,3.06,14.58,1562,8.22,1533,642.0,2,127.85,120,190,5,2
3600,3,450.0,17.7,14.4,1490,9.93,1464,1417.0,1,113.19,153,150,8,3
3971,3,1985.5,14.33,19.06,1523,13.02,539,247.0,2,31.21,216,117,2,3
2844,2,711.0,6.95,6.83,640,3.93,1179,710.0,0,172.03,35,163,4,2
2227,2,318.14,10.11,32.74,1526,13.04,751,718.0,2,54.68,180,117,7,2
1665,1,555.0,23.75,12.49,1989,21.16,1497,1100.0,2,103.2,153,94,3,2
3355,3,1118.33,18.07,19.12,1308,12.34,1215,59.0,1,76.03,30,106,3,3
1866,1,466.5,13.53,3.73,609,6.55,1948,938.0,0,180.17,110,93,4,1
1287,1,429.0,26.53,2.32,1905,16.01,1542,825.0,2,124.92,52,119,3,1
1046,1,1046.0,19.62,0.52,1703,8.87,1235,286.0,2,211.28,20,192,1,0
1441,1,205.86,13.27,24.21,1445,8.35,1345,1273.0,1,231.49,28,173,7,1
690,0,230.0,20.68,2.69,1087,6.55,589,295.0,1,43.92,84,166,3,0
2504,2,357.71,11.79,15.78,671,6.39,1182,852.0,0,208.15,24,105,7,2
2677,2,446.17,22.47,36.94,1472,8.76,1052,710.0,1,63.46,285,168,6,2
2243,2,280.38,20.52,8.97,765,6.65,1429,1277.0,0,159.7,77,115,8,2
2984,2,497.33,2.65,8.95,1642,9.6,873,129.0,2,63.03,52,171,6,2
1362,1,272.4,34.26,10.22,1265,6.95,836,690.0,1,180.66,30,182,5,1
3629,3,518.43,14.0,27.94,664,6.04,1478,701.0,0,81.79,285,110,7,3
3559,3,593.17,9.79,10.68,1277,8.99,1460,309.0,1,78.54,306,142,6,3
2571,2,857.0,8.81,13.88,1395,12.57,705,213.0,1,61.37,66,111,3,2
2107,2,263.38,19.0,43.83,1539,9.68,1666,1112.0,2,125.19,135,159,8,2
1022,1,204.4,57.37,11.24,1049,7.77,1077,199.0,1,91.27,33,135,5,0
2844,2,568.8,13.55,24.17,1827,14.27,1020,55.0,2,68.1,126,128,5,2
711,0,711.0,62.95,0.71,903,9.92,1235,1230.0,0,174.3,45,91,1,0
3117,3,1039.0,16.86,4.68,1987,10.98,1516,1052.0,2,97.12,90,181,3,3
978,0,122.25,46.44,9.39,1154,6.38,1499,541.0,1,265.61,15,181,8,0
1869,1,373.8,8.83,8.41,1336,6.89,583,55.0,1,41.83,13,194,5,1
1179,1,393.0,19.18,1.77,1886,16.84,1958,809.0,2,124.62,112,112,3,1
3844,3,768.8,13.23,21.14,1551,17.62,1995,1738.0,2,220.49,88,88,5,3
593,0,118.6,42.7,4.74,850,6.39,642,404.0,0,37.93,323,133,5,0
588,0,294.0,59.33,0.59,660,5.95,1178,262.0,0,172.4,30,111,2,0
3836,3,959.0,3.38,32.22,1225,10.56,1404,759.0,1,122.77,132,116,4,3
2669,2,444.83,9.24,8.01,1452,11.8,1040,42.0,1,80.07,120,123,6,2
2958,2,739.5,12.71,33.13,1686,10.16,1453,397.0,2,100.42,154,166,4,3
3031,3,1515.5,5.56,8.49,1634,8.17,1677,964.0,2,161.19,66,200,2,3
3388,3,3388.0,14.38,8.13,1708,15.67,517,233.0,2,81.01,24,109,1,3
2377,2,297.12,12.8,55.15,1151,8.99,1560,1022.0,1,98.16,144,128,8,2
2458,2,614.5,14.8,18.68,1578,11.43,1226,411.0,2,64.65,304,138,4,2
2766,2,922.0,8.57,14.94,1689,13.3,1200,954.0,2,191.63,14,127,3,3
3054,3,610.8,12.65,7.64,1488,13.29,1647,1528.0,1,149.78,140,112,5,3
3791,3,3791.0,2.37,6.82,1313,12.5,1308,416.0,1,114.38,110,105,1,3
625,0,78.12,43.64,5.0,1715,20.66,1615,638.0,2,96.47,102,83,8,0
2227,2,742.33,11.87,6.68,1442,7.51,687,231.0,1,103.54,30,192,3,1
3256,3,1628.0,1.83,11.07,528,3.72,637,574.0,0,85.75,72,142,2,2
707,0,707.0,13.92,1.27,1523,11.81,1606,148.0,2,80.64,152,129,1,0
1457,1,291.4,27.58,10.2,1133,5.69,1543,730.0,1,89.84,216,199,5,1
3755,3,751.0,1.59,46.94,1718,9.39,980,564.0,2,141.34,7,183,5,3
1733,1,247.57,21.2,6.07,1330,7.27,1441,1290.0,1,193.41,54,183,7,1
720,0,180.0,61.01,1.44,1799,16.81,1383,632.0,2,116.97,24,107,4,0
